BRAND,ITEM_NAME,ITEM_DESCRIPTION
Bella Italia,Lasagne Family Bundle,"Four portions of our classic Lasagne. Layers of pasta sheets, beef ragù and creamy béchamel sauce, oven baked with melting cheese. (Serves 2 adults and 2 kids)We provide allergen information on our website at https://menus.tenkites.com/thebigtg/bellaitaliadelivery"
Bella Italia,Lasagne Family Bundle,"Four portions of our classic Lasagne. Layers of pasta sheets, beef ragù and creamy béchamel sauce, oven baked with melting cheese. (Serves 2 adults and 2 kids)We provide allergen information on our website at https://menus.tenkites.com/thebigtg/bellaitaliadelivery"
Bella Italia,Lasagne Family Bundle,"Four portions of our classic Lasagne. Layers of pasta sheets, beef ragù and creamy béchamel sauce, oven baked with melting cheese. (Serves 2 adults and 2 kids)We provide allergen information on our website at https://menus.tenkites.com/thebigtg/bellaitaliadelivery"
Bella Italia,Lasagne Family Bundle,"Four portions of our classic Lasagne. Layers of pasta sheets, beef ragù and creamy béchamel sauce, oven baked with melting cheese. (Serves 2 adults and 2 kids)We provide allergen information on our website at https://menus.tenkites.com/thebigtg/bellaitaliadelivery"
Bella Italia,Lasagne Family Bundle,"Four portions of our classic Lasagne. Layers of pasta sheets, beef ragù and creamy béchamel sauce, oven baked with melting cheese. (Serves 2 adults and 2 kids)We provide allergen information on our website at https://menus.tenkites.com/thebigtg/bellaitaliadelivery"
Bella Italia,Lasagne Family Bundle,"Four portions of our classic Lasagne. Layers of pasta sheets, beef ragù and creamy béchamel sauce, oven baked with melting cheese. (Serves 2 adults and 2 kids)We provide allergen information on our website at https://menus.tenkites.com/thebigtg/bellaitaliadelivery"
Bella Italia,Lasagne Family Bundle,"Four portions of our classic Lasagne. Layers of pasta sheets, beef ragù and creamy béchamel sauce, oven baked with melting cheese. (Serves 2 adults and 2 kids)We provide allergen information on our website at https://menus.tenkites.com/thebigtg/bellaitaliadelivery"
Bella Italia,Lasagne Family Bundle,"Four portions of our classic Lasagne. Layers of pasta sheets, beef ragù and creamy béchamel sauce, oven baked with melting cheese. (Serves 2 adults and 2 kids)We provide allergen information on our website at https://menus.tenkites.com/thebigtg/bellaitaliadelivery"
Bella Italia,Lasagne Family Bundle,"Four portions of our classic Lasagne. Layers of pasta sheets, beef ragù and creamy béchamel sauce, oven baked with melting cheese. (Serves 2 adults and 2 kids)We provide allergen information on our website at https://menus.tenkites.com/thebigtg/bellaitaliadelivery"
Bella Italia,Lasagne Family Bundle,"Four portions of our classic Lasagne. Layers of pasta sheets, beef ragù and creamy béchamel sauce, oven baked with melting cheese. (Serves 2 adults and 2 kids)We provide allergen information on our website at https://menus.tenkites.com/thebigtg/bellaitaliadelivery"
Bella Italia,Lasagne Family Bundle,"Four portions of our classic Lasagne. Layers of pasta sheets, beef ragù and creamy béchamel sauce, oven baked with melting cheese. (Serves 2 adults and 2 kids)We provide allergen information on our website at https://menus.tenkites.com/thebigtg/bellaitaliadelivery"
Bella Italia,Lasagne Family Bundle,"Four portions of our classic Lasagne. Layers of pasta sheets, beef ragù and creamy béchamel sauce, oven baked with melting cheese. (Serves 2 adults and 2 kids)We provide allergen information on our website at https://menus.tenkites.com/thebigtg/bellaitaliadelivery"
Bella Italia,Mac & Cheese Family Bundle,A feast fit for a family of four. Creamy macaroni pasta baked in a rich cheese sauce. (Serves 2 adults and 2 kids)We provide allergen information on our website at https://menus.tenkites.com/thebigtg/bellaitaliadelivery
Bella Italia,Mac & Cheese Family Bundle,A feast fit for a family of four. Creamy macaroni pasta baked in a rich cheese sauce. (Serves 2 adults and 2 kids)We provide allergen information on our website at https://menus.tenkites.com/thebigtg/bellaitaliadelivery
Bella Italia,Mac & Cheese Family Bundle,A feast fit for a family of four. Creamy macaroni pasta baked in a rich cheese sauce. (Serves 2 adults and 2 kids)We provide allergen information on our website at https://menus.tenkites.com/thebigtg/bellaitaliadelivery
